State,2019,,Source:  https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_GDP_per_capita
 District of Columbia,200277,,
 New York,90043,,
 Massachusetts,86942,,
 Connecticut,81055,,
 California,80563,,
 Washington,80170,,
 Delaware,78468,,
 Alaska,76220,,
 North Dakota,75321,,
 New Jersey,73451,,
 Maryland,71838,,
 Illinois,71727,,
 Hawaii,69593,,
 Colorado,68828,,
 Wyoming,68757,,
 Minnesota,68427,,
 Nebraska,66737,,
 Texas,66149,,
 New Hampshire,66069,,
 Virginia,65824,,
 United States,65281,,
 Pennsylvania,64412,,
 Iowa,62493,,
 South Dakota,61104,,
 Rhode Island,60830,,
 Oregon,60558,,
 Ohio,60464,,
 Wisconsin,60425,,
 Kansas,60310,,
 Utah,59892,,
 Georgia,58896,,
 Nevada,58570,,
 Louisiana,57445,,
 North Carolina,56862,,
 Indiana,56702,,
 Vermont,56525,,
 Tennessee,56451,,
 Michigan,54928,,
 Missouri,54879,,
 Oklahoma,52409,,
 Florida,51745,,
 Arizona,51179,,
 Maine,50915,,
 New Mexico,50022,,
 Montana,49540,,
 Kentucky,48697,,
 South Carolina,48547,,
 Alabama,47735,,
 Idaho,46043,,
 Arkansas,44808,,
 West Virginia,43806,,
 Mississippi,40464,,
